qid,query,retrieved,hit@1,ndcg@10,mrr@10,latency_ms
78495383450e02c5fe817e408726134b3084905d,A Direct Search Method to solve Economic Dispatch Problem with Valve-Point Effec,86e87db2dab958f1bd5877dc7d5b8105d6e31e46,1.0,0.3391602052736161,1.0,12769.184
7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,Bearish-Bullish Sentiment Analysis on Financial Microblogs,97cb3258a85a447a61e3812846f7a6e72ff3c1e1,0.0,0.0,0.0,36.416
8c872ecd87945e71fcd9fa1b6cb1133cfe805bf2,Predicting defects in SAP Java code: An experience report,2f2dbb88c9266356dfda696ed907067c1e42902c,0.0,0.0,0.0,31.755
3a63667284dc8b9687ed1620406030bfe39af3c9,Active-Metric Learning for Classification of Remotely Sensed Hyperspectral Image,bf07d60ba6d6c6b8cabab72dfce06f203782df8f,1.0,0.3391602052736161,1.0,29.543
071f47b7bc5830643e31dbed82e0375bf9b26559,Ad Hoc Retrieval Experiments Using WordNet and Automatically Constructed Thesaur,37b0f219c1f2fbc4b432b24a5fe91dd733f19b7f,1.0,0.3903800499921017,1.0,25.871
ee9596725d1db17f2b1e2207dd3ea260343bfe4f,Underwater Acoustic Target Tracking: A Review,11897106a75d5ba3bf5fb4677943bd6f33daadf7,1.0,0.3391602052736161,1.0,27.151
a65196dfff31425281c690a7f2ca65247147da6b,Unsupervised Diverse Colorization via Generative Adversarial Networks,0217fb2a54a4f324ddf82babc6ec6692a3f6194f,0.0,0.0,0.0,30.796
a04b5b99f5d9d8748843e870536a4a9f65562012,Lane Detection ( Part I ) : Mono-Vision Based Method,87a1273dea59e3748372c5ea69488d70e9125046,0.0,0.0,0.0,38.279
de8e80d409aaaa3244da4f2cb5b5bb053d453cee,Detection of distributed denial of service attacks using machine learning algori,aed183e7258aff722192ca8b2368b51a7f817b1a,0.0,0.0,0.0,54.33
ae0fb9c6ebb8ce12610c477d2388447a13dc4694,Distributed Privacy-Preserving Collaborative Intrusion Detection Systems for VAN,6c7e55e3b53029296097ee07ba75b6b6a98b14e5,0.0,0.0,0.0,46.924
648678f1edab0d2139958070744b826d2b24c79e,Social engineering attack framework,7c459c36e19629ff0dfb4bd0e541cc5d2d3f03e0,1.0,0.3391602052736161,1.0,22.958
8a6080396fa7195c7c627bea4b2aeeb9ca39b5f8,A Biologically Plausible Learning Rule for Deep Learning in the Brain,cfad94900162ffcbc5a975e348a5cdccdc1e8b07,0.0,0.0,0.0,42.008
4715401473dca02ebaa5bdd4d4003705ed91c380,Tampering with the Delivery of Blocks and Transactions in Bitcoin,5e86853f533c88a1996455d955a2e20ac47b3878,1.0,0.3391602052736161,1.0,40.461
6519bf5580fcdcc9c50fd72c6c8dc5d040d443e8,A survey of multi-source energy harvesting systems,eef7d32eca9a363c31151d2ac4873f98a93f02d2,0.0,0.0,0.0,36.764
3be10c45163c61dfb9f250412699b3f8cb0ada1d,Churn prediction in telecom using Random Forest and PSO based data balancing in ,7113af6cefeece031e00aac386c35fa17a87ca01,0.0,0.0,0.0,86.954
566c89a1ace18f57ac3212e6d62634b501990b31,Discovering social circles in ego networks,e3bb879045c5807a950047d91e65c15e7f087313,0.0,0.0,0.0,41.92
370fda29c5aaff285311a87824c5f28db33da021,Permutation invariant training of deep models for speaker-independent multi-talk,c1cd441dad61b9d9d294a19a7043adb1582f786b,1.0,0.3391602052736161,1.0,38.862
6c89453c09abde95d998f5acd244f00519472ee0,SemEval-2014 Task 3: Cross-Level Semantic Similarity,528fa9bb03644ba752fb9491be49b9dd1bce1d52,1.0,0.3391602052736161,1.0,31.49
74d4bf32242a3d22df63e0cd3c7b5a0038220cd2,Design Approach to a Novel Dual-Mode Wideband Circular Sector Patch Antenna,3c64af0a3046ea3607d284e164cb162e9cd52441,0.0,0.0,0.0,27.994
714c194a2fc326151b905270558aa137f9f22730,Two privacy-preserving approaches for data publishing with identity reservation,d30bf3722157c71938dc94419802239ef4e4e0db,0.0,0.0,0.0,26.399
c79b88a8d8ba491cead38b431703d84015153a8f,An integrated framework on mining logs files for computing system management,0c5f142ff723d9a1f8e3b7ad840e2aaee5213605,0.0,0.0,0.0,25.904
b2a20116c0609e23d3adfeaa604500fddca66178,DeltaCFS: Boosting Delta Sync for Cloud Storage Services by Learning from NFS,418e5e5e58cd9cafe802d8b679651f66160d3728,0.0,0.0,0.0,53.996
8a93cd1b6fbf7c8c86637bae18d979dafeb9a7c1,Factor-based Compositional Embedding Models,0f9065db0193be42173be5546a3dfb839f694521,0.0,0.0,0.0,46.606
281b6888d5df1dddb350fac4e9be5c8272519109,A Dual Attentive Neural Network Framework with Community Metadata for Answer Sel,8ff54aa8045b1e30c348cf2ca42259c946cd7a9e,0.0,0.0,0.0,36.37
0a40663fdcf7c5fb7cfc459693116c41309e7eca,Algorithmic Nuggets in Content Delivery,9da9786e6aba77c72516abb5cfa124402cfdb9f1,0.0,0.0,0.0,23.852
8501e330d78391f4e690886a8eb8fac867704ea6,"Train longer, generalize better: closing the generalization gap in large batch t",27da8d31b23f15a8d4feefe0f309dfaad745f8b0,1.0,0.3391602052736161,1.0,35.057
beac53e8074b4822943a3374ff5e9fed98a891b8,Generate to Adapt: Aligning Domains Using Generative Adversarial Networks,1450296fb936d666f2f11454cc8f0108e2306741,0.0,0.0,0.0,46.474
6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,Visualization of complex attacks and state of attacked network,9fe265de1cfab7a97b5efd81d7d42b386b15f2b9,1.0,0.3391602052736161,1.0,39.317
7db20fcc1d71edc32c365f145148d24b9f1427a5,A proposal of LDMOS using Deep Trench poly field plate,54ee63cdeca5b7673beea700e2e46e1c95a504e9,0.0,0.0,0.0,26.928
